config,sharpe,fold_median,frac_pos,worst_fold,growth_week,max_dd,ann_vol,avg_lev,frac_flat,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7
vol 120%/w60 +van,1.0582868551981164,1.1865917432346726,0.875,-0.5341770033458498,0.011207603426831036,0.506370939216235,0.8184847260545653,0.9564784482700538,0.7133917396745932,1.626674533310056,1.8244285119624333,1.039450838905593,1.012452444690261,1.3337326475637523,-0.5341770033458498,0.1108766886005756,1.4054815805714704
vol 120%/w90,1.7405171382189653,1.5223051202191509,1.0,0.39274013250873896,0.028335406507424374,0.7578637492421061,1.3896599433203611,3.2152103972035015,0.0,2.5797094632886455,2.740753186651412,1.48413156106683,0.39274013250873896,2.7192237653646214,0.4041424356181554,1.105763417896817,1.560478679371472
vol 120%/w90 +van,0.7493502531021193,0.42426177137614907,0.875,-0.5203899128241387,0.005015426881221208,0.5246556013712895,0.6005149529194742,0.8883221048958279,0.6833541927409261,1.594039901988053,1.6745878862951071,0.9055967995574793,0.31322945842980643,0.15442149409663883,0.5352940843224917,0.311635490722217,-0.5203899128241387
vol 150%/w20,1.4863869351261,1.3778314007900772,1.0,0.21257781350759905,0.02200086133749557,0.9132127028888835,1.6087734216419562,3.8932313886054364,0.023779724655819776,2.7208281911615324,2.620823093284768,1.5993578216089885,0.33233684959459925,2.55883083896721,0.21257781350759905,1.1563049799711655,0.46494839479900485
vol 150%/w20 +van,0.8078223858611384,0.9764809304920603,0.875,-0.2319830561464409,0.006256161663639221,0.7110241088627735,0.8843811039579613,1.0225347010148167,0.7246558197747184,1.5961055777268276,1.4519144640884956,0.9786625740711195,1.0123420446111795,0.07059916420414017,-0.2319830561464409,0.029994906301280877,0.9742992869130012
vol 150%/w40,1.6649987371879906,1.4695228815990253,1.0,0.2981714130357887,0.028704032762776978,0.8791574294173674,1.639274994354609,3.854776507551671,0.0050062578222778474,2.6286778294823034,2.9010364418082464,1.6446738936745964,0.2981714130357887,2.693711926172078,0.5061398236791442,1.1146679072451124,1.2943718695234545
vol 150%/w40 +van,1.0710273198697622,1.2369850961241102,0.75,-0.2849574945676359,0.012384986569993438,0.5840347651894855,0.9646843083820498,1.086962381874392,0.7171464330413017,1.6300352729302154,1.82068882642148,1.099730868065853,1.1477582351420155,1.3262119571062048,-0.2849574945676359,-0.008491893310192615,1.415699991815829
vol 150%/w60,1.7365711833384583,1.592487019528241,1.0,0.3034475408787332,0.03074234502524103,0.840419561557445,1.674618409372559,3.845878451852762,0.0,2.5986059824413217,2.8935000957480725,1.5342913971609018,0.3034475408787332,2.7271788660718834,0.6566184200316022,1.07703344378447,1.6506826418955802
vol 150%/w60 +van,0.9216697503468648,1.0306066253746429,0.875,-0.4939860908834364,0.009798752437869204,0.6637810987601196,0.9650172823140385,0.9808582740148284,0.7409261576971214,1.6318388149038296,1.8244285119624328,1.1401011801040326,0.9211120706452531,0.0823961225402542,-0.4939860908834364,0.047662576291773215,1.381088711627115
vol 150%/w90,1.7142899971612633,1.5223051202191509,1.0,0.29910699166979654,0.02683815733935868,0.8794959640466067,1.659197041247134,3.7768729380962354,0.0,2.478072369718684,2.7407531866514114,1.4841315610668302,0.29910699166979654,2.751051155262154,0.40414243561815555,1.1057634178968163,1.5604786793714716
vol 150%/w90 +van,0.837852638257866,0.7548519982202258,0.875,-0.4457442292767929,0.006229266205797965,0.604284745331049,0.7016191255337465,0.9362544549662092,0.718397997496871,1.5992969396830512,1.674587886295107,1.0767167473632555,1.054910759317081,0.1699425028946916,0.4547932371233705,0.1735937681020999,-0.4457442292767929
